epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7511,1.76311,3.62217,1.71845,0.00593,0.93023,0.51727,0.30689,1.42038,3.33814,1.23728,0.00018,0.00018,0.00018
2,117.548,1.59226,2.1997,1.4112,0.00607,0.95349,0.72465,0.38877,1.3227,3.16937,1.14963,0.00034238,0.00034238,0.00034238
3,174.337,1.503,1.80535,1.32461,0.97827,0.52353,0.76355,0.38638,1.35896,3.00189,1.15478,0.00046516,0.00046516,0.00046516
4,232.912,1.52128,1.70972,1.28021,1,0.21532,0.79013,0.41658,1.44318,3.03205,1.14614,0.00054834,0.00054834,0.00054834
5,289.638,1.42918,1.5539,1.22453,0.97427,0.44031,0.81137,0.42696,1.42473,2.80019,1.15769,0.00059192,0.00059192,0.00059192
6,346.638,1.36981,1.51354,1.18779,0.96141,0.57948,0.80218,0.46111,1.38051,2.66883,1.13621,0.0005959,0.0005959,0.0005959
7,403.411,1.37793,1.42271,1.19771,0.96772,0.69717,0.88986,0.49387,1.36555,2.1786,1.12162,0.00056028,0.00056028,0.00056028
8,459.936,1.32778,1.33873,1.20874,0.95658,0.7686,0.92004,0.51832,1.4381,2.11161,1.1382,0.00048506,0.00048506,0.00048506
9,517.346,1.29354,1.30921,1.1405,0.98732,0.90536,0.96793,0.55181,1.46898,1.8257,1.14884,0.00037024,0.00037024,0.00037024
10,574.222,1.27101,1.30499,1.11993,0.9696,0.94186,0.96987,0.56884,1.40935,1.64861,1.13445,0.00021582,0.00021582,0.00021582
